Synthesizer,Complexity,Entity Types,Field Count,Uses Join,Return Type
Task-AddGEMSubscribers-gHLTYfjQb,simple,wsbvnext,4,False,dynamic
Task-Upgrade-RemoveAds-ZsVan1Rs~,simple,wsbvnext,7,False,empty_array
Task-AddMoreProducts-wLwoZl_J6,simple,wsbvnext,8,False,dynamic
Task-SubscriptionsCouponOrInsights-EfdGoWY3R,simple,wsbvnext,1,False,empty_array
Task-PromoteAppointmentService-EBVqroHvQ,simple,wsbvnext,7,False,dynamic
Task-ReadBlogging-uQzCHoLKn,simple,wsbvnext,5,False,dynamic
Task-DoEmailGEMCampaign-Social-Tile-R9MtcarCi,simple,,0,False,empty_array
Guidance-Local-2-jDYwffkHC,medium,"wsbvnext, mktgasst",9,True,dynamic
Task-AddHeaderImage-GQZD61oxC,simple,wsbvnext,4,False,dynamic
Guidance-GetNoticed-2-ODfCE4BVy,medium,"wsbvnext, mktgasst",9,True,dynamic
Task-AddLogo-6pWJNvpKc,simple,wsbvnext,3,False,dynamic
Task-AddShopLocal-PUuCmUg60,simple,wsbvnext,7,False,dynamic
Task-ChatLearnMore-HKQ4ObbyT,simple,wsbvnext,2,False,dynamic
Task-SetupOLAPaymentsV2-jc8Qp_Caw,simple,wsbvnext,5,False,dynamic
Task-UploadYelpPhotos-Mnf6UqWHp,simple,mktgasst,3,False,dynamic
Task-DoPostToFacebook-Holiday-Sales-Tile-VUO1ImXfw,simple,,0,False,empty_array
Task-AddVideoWidget-gnR7xUtCf,simple,wsbvnext,4,False,dynamic
Task-DIFYPhotoShoot-0BcOP9tUR,simple,,0,False,dynamic
Guidance-Appointments-1-Cs1c8jdv9,medium,"wsbvnext, mktgasst",9,True,dynamic
Task-ConnectSocialChannels-Z3k1TBAVy,simple,wsbvnext,2,False,dynamic
Task-WaysToSell-VTk695TTb,simple,,0,False,empty_array
Task-FinishOLASetup-lojlsh6yk,simple,wsbvnext,3,False,dynamic
Task-AddOLAV2-WlLowz8wT,simple,wsbvnext,5,False,dynamic
Task-AddFBBookNowOLA-ylid4ZUsF,simple,wsbvnext,11,False,dynamic
Guidance-DmFull-SocialEmail-1-GmfspIsuO,medium,"wsbvnext, mktgasst",8,True,dynamic
Task-DIFY-n6n0grUBR,simple,wsbvnext,1,False,dynamic
Task-DoFirstBlog-I0rcrov4y,simple,wsbvnext,6,False,dynamic
Task-AddWidgetContent-WgaarO6ht,simple,wsbvnext,3,False,dynamic
Task-Add10MoreProducts-LHwR9aqcU,simple,wsbvnext,3,False,dynamic
Task-AddBlog-D8U9r02OD,simple,wsbvnext,5,False,dynamic
Task-GoDaddyConversations-LoeR11kT~,simple,wsbvnext,5,False,dynamic
Task-DoStartSEO-JjpaiNG8e,simple,wsbvnext,5,False,dynamic
Task-CustomizeChatWidget-5BSAO5cvy,simple,wsbvnext,2,False,dynamic
Task-DoEmailGEMCampaign-Sales-Tile-qdWVe5QuU,simple,,0,False,empty_array
Task-AddMarketplaceProducts-Orders-Tile-zaOMcPW9~,simple,,0,False,empty_array
Task-AddWidgetContactUs-VFIVqWNNF,simple,wsbvnext,4,False,dynamic
SetupO365-Orders-Tile-dO765dxiP,simple,,0,False,empty_array
