Normalized Field,Category,Subcategory,Data Type,Description,Used By Count,Variation Count,Entity Sources,Example Raw Fields
account.id,Identity & Core Data,account,identifier,Unique identifier for the customer account,106,2,"mktgasst, unknown, wsbvnext",wsbvnext.accountId | accountId
entity.id,Identity & Core Data,entity,identifier,Unique identifier for the entity (context-dependent),57,3,"mktgasst, unknown, wsbvnext",mktgasst.id | wsbvnext.id | id
entitlements.all,Entitlements & Permissions,all,string,Complete entitlement information,37,1,"mktgasst, wsbvnext",entitlementData
entity.type,Identity & Core Data,entity,enum,"Type of entity (wsbvnext, mktgasst, etc.)",37,3,"mktgasst, o365, unknown, vnextgraph, wsbvnext",wsbvnext.type | mktgasst.type | type
websiteType,Other,uncategorized,enum,Other data field,32,1,"mktgasst, wsbvnext",features.websiteType
customer.intentions,Customer Data,intentions,array/object,Customer intent/goal information,24,2,"mktgasst, unknown, wsbvnext",customerIntentions | wsbvnext.customerIntentions
website.isPublished,Website Configuration,isPublished,boolean,Whether the website is published and live,20,1,"mktgasst, wsbvnext",features.published
website.widgets,Website Configuration,widgets,identifier,List of enabled website widgets/sections,18,1,"unknown, wsbvnext",features.widgets
billing.commitment,Billing & Payments,billing,string,"Billing commitment period (monthly, annual, etc.)",15,1,"mktgasst, wsbvnext",vnextAccount.billing.commitment
account.planType,Identity & Core Data,account,enum,Current subscription plan type,13,2,"mktgasst, wsbvnext",account.planType | features.planType
billing.paymentStatus,Billing & Payments,billing,enum,Current payment status,11,1,"mktgasst, wsbvnext",vnextAccount.account.paymentStatus
entitlements.current,Entitlements & Permissions,current,string,Currently active entitlements,9,1,"mktgasst, wsbvnext",entitlementData.current
commerce.productCount,E-commerce,productCount,number,Number of products in online store,8,1,wsbvnext,ols.products.count
appointments.serviceCount,Appointments & Services,serviceCount,number,Number of bookable services,7,1,wsbvnext,ola.service.total
social.facebookPageId,Marketing & Social,social,identifier,Connected Facebook page ID,7,1,"mktgasst, wsbvnext",features.facebook.pageId
appointments.status,Appointments & Services,status,enum,Appointments & Services data field,6,1,wsbvnext,ola.account.status
features,Other,uncategorized,string,Other data field,6,2,"uce, unknown",wsbvnext.features | features
email.subscriberCount,Marketing & Social,email,number,Number of email subscribers,5,1,wsbvnext,gem.subscriberCount
social.lastFacebookPost,Marketing & Social,social,string,Date of most recent Facebook post,5,1,"mktgasst, wsbvnext",gem.lastFbPostDate
social.facebookConnected,Marketing & Social,social,boolean,Whether Facebook is connected,5,1,"mktgasst, wsbvnext",features.facebook.isConnected
entitlements.current.commerce,Entitlements & Permissions,current,string,Entitlements & Permissions data field,4,1,wsbvnext,entitlementData.current.commerce
links.olsAddProducts,Navigation Links,olsAddProducts,string,Navigation Links data field,4,1,wsbvnext,links.olsAddProducts
